identifier,creator,title,date,downloads,venue
1999-11-06.paf.neumann.shepherd.5502.sbefail.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Bryce Jordan Center on 1999-11-06,1999-11-06T00:00:00Z,3682,Bryce Jordan Center
1999-11-08.paf.aud.vernon.8768.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Baltimore Arena on 1999-11-08,1999-11-08T00:00:00Z,12372,Baltimore Arena
1999-11-09.paf.aud.abbddull.1502.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Temple University on 1999-11-09,1999-11-09T00:00:00Z,12344,Temple University
1999-11-09.paf.schoeps.pujol.8022.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Temple University on 1999-11-09,1999-11-09T00:00:00Z,5857,Temple University
1999-11-10.paf.aud.smith.11563.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at New Haven Coliseum on 1999-11-10,1999-11-10T00:00:00Z,2879,New Haven Coliseum
1999-11-11.paf.akg.vernon.6471.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Augusta Civic Center on 1999-11-11,1999-11-11T00:00:00Z,6367,Augusta Civic Center
1999-11-13.paf.akg393.dauria.29873.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Continental Airlines Arena on 1999-11-13,1999-11-13T00:00:00Z,9446,Continental Airlines Arena
1999-11-13.paf.aud.vernon.26778.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Continental Airlines Arena on 1999-11-13,1999-11-13T00:00:00Z,24044,Continental Airlines Arena
1999-11-14.paf.akg.vernon.6418.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Centrum on 1999-11-14,1999-11-14T00:00:00Z,6353,Centrum
1999-11-15.paf.bk4061.unknown.5672.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Barton Hall on 1999-11-15,1999-11-15T00:00:00Z,8067,Barton Hall
1999-11-17.paf.unknown.vernon.7988.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Wittemore Ctr. on 1999-11-17,1999-11-17T00:00:00Z,4490,Wittemore Ctr.
1999-11-18.paf.schoeps.schwartz.6419.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Mullins Center UMASS on 1999-11-18,1999-11-18T00:00:00Z,7401,Mullins Center UMASS
1999-11-30.paf.sbd.unknown.6420.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Fillmore Auditorium on 1999-11-30,1999-11-30T00:00:00Z,8151,Fillmore Auditorium
20-track-20_202008,Ween,Ween Live at The Tabernacle on 2003-09-13,2003-09-13T00:00:00Z,293,The Tabernacle
